"Region","Frequency","B12_pct","Cluster_k4"
"R26",0.0998142101467819,32.9725140613393,1
"R42",0.107785072024182,33.1808943089431,1
"R43",0.104951960983515,41.5410385259632,1
"R73",0.0978043964079998,49.9514091350826,1
"R74",0.107989866905148,36.2287104622871,1
"R83",0.0841905343176383,54.4695071010861,1
"R31",0.103026136640434,30.3925157616433,2
"R72",0.0955164404332302,31.3181931264883,2
"R82",0.110480326649989,20.8540543370151,2
"R91",0.101848285229541,35.7438337843302,2
"R93",0.108246619768141,35.5480843314422,2
"R11",0.130169006359919,52.7615955177793,3
"R21",0.127816781366421,66.2756598240469,3
"R22",0.123280990590477,42.1207041072925,3
"R94",0.138025282325541,69.8985901558249,3
"R23",0.0948786764531863,23.9111223330388,4
"R24",0.0893024656475829,3.86003734181592,4
"R25",0.0960514914877453,18.1799591002045,4
"R41",0.0762991788123106,27.4967907573813,4
"R52",0.0909538205056221,15.1183499942549,4
"R53",0.0972382035649981,8.12941672819323,4
"R54",0.0862945548387749,15.0784851490926,4
